[28-Jun-2025 13:45:19 Asia/Jakarta] PHP Fatal error:  Call to undefined function fetchAll() in C:\xampp\htdocs\kampusprojek\index.php on line 9

[28-Jun-2025 13:54:23 Asia/Jakarta] PHP Parse error:  syntax error, unexpected '?' in C:\xampp\htdocs\kampusprojek\config\session.php on line 36

[28-Jun-2025 13:54:24 Asia/Jakarta] PHP Parse error:  syntax error, unexpected '?' in C:\xampp\htdocs\kampusprojek\config\session.php on line 36

[28-Jun-2025 13:54:24 Asia/Jakarta] PHP Parse error:  syntax error, unexpected '?' in C:\xampp\htdocs\kampusprojek\config\session.php on line 36

[28-Jun-2025 15:47:33 Asia/Jakarta] PHP Warning:  Constants may only evaluate to scalar values in C:\xampp\htdocs\kampusprojek\kampusprojek\config\config.php on line 40

[28-Jun-2025 15:47:33 Asia/Jakarta] PHP Warning:  Constants may only evaluate to scalar values in C:\xampp\htdocs\kampusprojek\kampusprojek\config\config.php on line 41

[28-Jun-2025 15:47:33 Asia/Jakarta] PHP Parse error:  syntax error, unexpected '?' in C:\xampp\htdocs\kampusprojek\kampusprojek\config\database.php on line 231

[28-Jun-2025 15:47:35 Asia/Jakarta] PHP Warning:  Constants may only evaluate to scalar values in C:\xampp\htdocs\kampusprojek\kampusprojek\config\config.php on line 40

[28-Jun-2025 15:47:35 Asia/Jakarta] PHP Warning:  Constants may only evaluate to scalar values in C:\xampp\htdocs\kampusprojek\kampusprojek\config\config.php on line 41

[28-Jun-2025 15:47:35 Asia/Jakarta] PHP Parse error:  syntax error, unexpected '?' in C:\xampp\htdocs\kampusprojek\kampusprojek\config\database.php on line 231

[28-Jun-2025 15:47:35 Asia/Jakarta] PHP Warning:  Constants may only evaluate to scalar values in C:\xampp\htdocs\kampusprojek\kampusprojek\config\config.php on line 40

[28-Jun-2025 15:47:35 Asia/Jakarta] PHP Warning:  Constants may only evaluate to scalar values in C:\xampp\htdocs\kampusprojek\kampusprojek\config\config.php on line 41

[28-Jun-2025 15:47:35 Asia/Jakarta] PHP Parse error:  syntax error, unexpected '?' in C:\xampp\htdocs\kampusprojek\kampusprojek\config\database.php on line 231

[28-Jun-2025 15:47:36 Asia/Jakarta] PHP Warning:  Constants may only evaluate to scalar values in C:\xampp\htdocs\kampusprojek\kampusprojek\config\config.php on line 40

